Token,SentimentScore
jul,1
institution,0.996887693636099
jun,0.993865433098683
sanofi,0.993245530763783
dec,0.992775840332271
sep,0.991620228309573
near,0.991585129026008
indirect,0.991394592807142
name,0.990705360590407
stockholders,0.988838440748973
details,0.986313591599793
swap,0.983836589099223
derivative,0.983514315150444
exercisable,0.981299025710517
upfront,0.980605999883004
deficit,0.980018424600744
type,0.97984057171975
forfeitures,0.979745087813475
exercised,0.979536106133667
grants,0.979353137016946
exercise,0.978246226524991
epu,0.978157181435696
loss,0.978145575828199
dilutive,0.977532513859739
definition,0.97747319486846
granted,0.976241690678962
renewal,0.976204427516886
license,0.974977532923839
banks,0.974871489614195
liquid,0.974263018600277
references,0.973952340908929
bid,0.972941987871157
auction,0.972778397939647
excluded,0.972539220293496
accreted,0.972529884400881
xbrli,0.972489616714867
uri,0.972460808617259
thousand,0.972145344919262
excludes,0.971717513022383
rent,0.971538941293807
characteristics,0.971383446904298
apply,0.971155043979478
average,0.970750015071139
equity,0.970586493825103
mar,0.970538515084927
share-based,0.970449064555256
weighted-average,0.97038200507587
partner,0.969844926623222
winning,0.969474273221366
applying,0.969454851232946
royalties,0.969421128056778
bids,0.969238149718727
maintenance,0.968663397850889
nine,0.968439636186015
administrative,0.968234603090261
pfizer,0.967936666579461
paragraph,0.967731270135278
rental,0.967242424743298
reference,0.966028052067377
permanent,0.965790378543474
computation,0.965785206998184
usd,0.96557805591781
gar,0.965488591780597
three,0.965441122367934
s.a,0.965102519454296
sublease,0.964463962927789
kite,0.964449870708394
designated,0.964342996737668
insignificant,0.96349357439879
monetaryitemtype,0.96318447501023
overhead,0.963111966960204
usage,0.962289862502631
per,0.962203396429231
premium,0.961513189415691
hedge,0.961398832778203
subparagraph,0.961152372745441
hosting,0.960786809960995
requisite,0.960727836073555
wireless,0.960659896912863
milestones,0.960394070467264
milestone,0.96014665974742
counterparty,0.959974847855604
grantee,0.959662177785729
total,0.959635359407694
hedges,0.959211088095025
venture,0.959176140676583
ltip,0.9586772694948
share,0.958538583000706
exercises,0.957886726222616
latest,0.957705716514056
benefits,0.957675834336369
general,0.957553730875281
intended,0.957281660970062
stock-based,0.957224091877276
star,0.957138952473235
land,0.957057439355012
means,0.956945925381799
computer,0.956809736972724
non-current,0.95677981406377
smaller,0.956737639571124
weighted,0.956325412664475
expedient,0.956095800334481
security,0.956089023969506
elect,0.956029256061458
buildings,0.955720809253408
publisher,0.955543529288543
grupo,0.955455338420234
non,0.955346873716942
us-gaap_,0.954969425841005
institutions,0.954909109393573
remain,0.953582026360646
offset,0.953531787446235
care,0.953406310386602
derivatives,0.953115659983881
invested,0.953066486718332
pension,0.952766738247946
decrease,0.95261294301782
improvement,0.952524078575855
collaboration,0.952293749561368
non-cash,0.951801821630595
licenses,0.951634863865408
discount,0.951634204868068
economic,0.951547910128404
excluding,0.951411494101827
unvested,0.951323764311244
manager,0.951266610592991
royalty,0.951228232188154
professional,0.951155935267783
electric,0.951059504752289
service,0.950643956230184
non-cancelable,0.950559778427722
approach,0.95037165143598
demand,0.950307114341184
advances,0.950078580940177
snr,0.949958402318311
advertising,0.949741381002025
allocated,0.949712605757693
participate,0.949587042249262
instrument,0.949571036130839
labor,0.949563672118489
physical,0.949497620996519
software,0.949378410044653
utilization,0.949270351211157
following,0.949205003261675
flow,0.94913488927668
anti-dilutive,0.948905265910005
standard,0.948847774875714
scope,0.948788387851114
sets,0.948510077380978
credits,0.94827053761785
months,0.948182723431533
global,0.948088964526635
elected,0.947631293670404
commercial,0.947543649030505
property,0.947284983383347
black-scholes,0.947033466922272
gas,0.946496790648708
commenced,0.946466565751306
vest,0.946126684809512
dividing,0.946066882478566
supplemental,0.945789421950592
shows,0.945535525259788
revenues,0.945468996813824
allows,0.945307330766378
noncurrent,0.945247897442954
home,0.945153968633936
ohio,0.945046390091219
added,0.945019058526092
eight,0.944964479495367
power,0.944925190294895
health,0.944902295515113
direct,0.944754157899379
thereafter,0.944408279833344
implemented,0.944384661593498
notional,0.944265299762305
insured,0.944015939255399
attributable,0.94395458423428
office,0.943565934817231
incremental,0.943534308192461
photonics,0.943097213446541
real,0.94298608821063
paid-in,0.94296131047452
withdrawal,0.9428120013231
extension,0.9425871036839
reclassifications,0.942579397527828
tengasco,0.942366829895047
satellites,0.942205751806967
namespace,0.942170109772955
thousands,0.942043835017162
fhlb,0.942034646518193
dollars,0.941955031685448
netting,0.941942971939829
diluted,0.941887614994701
billion,0.941860064788483
premiums,0.941362242087792
produce,0.941358056179333
known,0.941348393705049
taxes,0.941127428253704
hardware,0.941126449009907
healthcare,0.941121484619461
spectrum,0.941119427646738
entity,0.940985303602277
backlog,0.940876139002547
update,0.940842254168226
exploration,0.940795355670259
earnings,0.940741544587141
currency,0.940557966103143
vested,0.940468343774706
previous,0.940373743564527
benefit,0.940283482568781
servicer,0.939988128430506
utilized,0.939932656075651
percentage,0.939716147894565
debentures,0.939641567600126
convertible,0.939558409956314
main,0.93933047815956
etc,0.939325860594775
discounted,0.938686235234627
tables,0.938616576063254
component,0.938477661060446
branch,0.938460765047907
adopting,0.938457894818222
noncash,0.93822449288412
adopt,0.938150171763469
rate,0.937966181602764
capitalized,0.937911523980184
materials,0.937742311936262
impact,0.937646020365947
residential,0.937592329154085
classify,0.937432337938893
shareholders,0.937198344102808
began,0.937145525877444
leasehold,0.936553180194385
approximates,0.936340886316069
withholding,0.936340502534998
asia,0.936296602178736
liabilities,0.936266871325301
issuable,0.936171467709696
basic,0.936146075106271
construction,0.93607726907162
accelerated,0.935955212844881
sar,0.935938343311965
geographic,0.935882142766072
worldwide,0.935804453935662
sab,0.935799047948463
spin-off,0.935748958375985
undistributed,0.935566533938428
disability,0.935181681866073
growth,0.935112499508963
participating,0.935080936253842
arthur,0.935022627066864
table,0.934971893897107
finance,0.934611967718882
subtopic,0.934581708594947
deposits,0.934424969431892
sylvave,0.934354984456469
